cultivation_organic_soils,Cultivation Organic Soils
gfed4_burned_areas,GFED4 Burned Areas
gfed4_burned_areas_-_barren_or_sparsely_vegetated,GFED4 Burned Areas - Barren or sparsely vegetated
gfed4_burned_areas_-_closed_shrubland,GFED4 Burned Areas - Closed shrubland
gfed4_burned_areas_-_croplands,GFED4 Burned Areas - Croplands
gfed4_burned_areas_-_deciduous_broadleaf_forest,GFED4 Burned Areas - Deciduous Broadleaf forest
gfed4_burned_areas_-_deciduous_needleleaf_forest,GFED4 Burned Areas - Deciduous Needleleaf forest
gfed4_burned_areas_-_evergreen_broadleaf_forest,GFED4 Burned Areas - Evergreen Broadleaf forest
gfed4_burned_areas_-_evergreen_needleleaf_forest,GFED4 Burned Areas - Evergreen Needleleaf forest
gfed4_burned_areas_-_grassland,GFED4 Burned Areas - Grassland
gfed4_burned_areas_-_humid_tropical_forest,GFED4 Burned Areas - Humid Tropical Forest
gfed4_burned_areas_-_mixed_forest,GFED4 Burned Areas - Mixed forest
gfed4_burned_areas_-_open_shrubland,GFED4 Burned Areas - Open shrubland
gfed4_burned_areas_-_organic_soils,GFED4 Burned Areas - Organic soils
gfed4_burned_areas_-_other_forest,GFED4 Burned Areas - Other forest
gfed4_burned_areas_-_savanna,GFED4 Burned Areas - Savanna
gfed4_burned_areas_-_unclassified,GFED4 Burned Areas - Unclassified
gfed4_burned_areas_-_urban_and_built-up,GFED4 Burned Areas - Urban and built-up
gfed4_burned_areas_-_woody_savanna,GFED4 Burned Areas - Woody savanna
global_ecological_zones_(gez)_2010,Global Ecological Zones (GEZ) 2010
global_land_cover_2000_(glc2000),Global Land Cover 2000 (GLC2000)
gridded_livestock_of_the_world_v_201,Gridded Livestock of the World v2.01
harmonized_world_soil_database_-_organic_soils,Harmonized World Soil Database - Organic soils
jrc_climate_zone,JRC climate zone
modis_-_land_cover_type_umd,MODIS - Land Cover Type UMD
